#,Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,SBA,Min Req
23,"Esparza, Sergio",0.304,44-42,168,19,51,8,1,2,28,67,0.399,12,2,33,2,0.353,2,3,6,8,Yes
24,"Knox, Jordan",0.302,40-40,139,32,42,6,5,2,20,64,0.46,16,6,31,0,0.395,1,3,19,22,Yes
8,"Figueroa, Jerimiah",0.279,43-42,147,16,41,8,1,2,19,57,0.388,20,2,27,2,0.373,0,6,3,4,Yes
3,"Moore , Jaquese",0.263,45-43,167,34,44,8,1,0,20,54,0.323,18,4,22,1,0.347,1,4,23,25,Yes
6,"Perez, Aderly",0.242,45-43,157,28,38,9,1,3,18,58,0.369,19,4,30,2,0.335,2,2,8,9,Yes
22,"Brown , Dontrell",0.184,41-33,114,24,21,6,0,4,16,39,0.342,17,8,22,1,0.329,1,0,3,4,Yes
20,"Soriano , Juan Pablo",0.18,39-29,111,10,20,4,1,3,8,35,0.315,17,4,47,2,0.311,0,0,1,2,Yes
13,"Henderson , Corey",0.333,34-29,81,8,27,3,0,2,14,36,0.444,7,4,27,0,0.413,0,5,1,2,No
5,"Jackson , Jaylen",0.3,31-20,80,17,24,6,0,3,14,39,0.488,9,2,17,1,0.38,1,0,2,2,No
7,"Williams , Joshua",0.244,32-19,78,8,19,3,0,2,19,28,0.359,7,2,22,1,0.315,2,0,1,1,No
12,"Lopez, Bradly",0.24,31-21,75,16,18,1,0,1,9,22,0.293,7,8,16,0,0.367,0,3,2,5,No
21,"Jones, Julian",0.214,27-19,70,12,15,2,0,0,12,17,0.243,9,2,21,0,0.313,2,0,0,3,No
10,"Bax, Logan",0.192,15-8,26,4,5,1,0,0,2,6,0.231,4,1,7,1,0.323,0,1,0,1,No
28,"Higgins , Kacy",0.15,11/05/17,20,2,3,2,0,0,1,5,0.25,1,0,4,0,0.19,0,1,2,3,No
2,"Grier, Austin",0.125,24-8,40,3,5,2,0,0,2,7,0.175,3,0,17,1,0.186,0,1,0,0,No
18,"Giron, Jacob",0.122,25-10,41,5,5,0,0,2,9,11,0.268,8,4,18,0,0.315,1,0,0,0,No
31,"Ibrahim, Jason",0.111,20-1,18,1,2,0,0,0,0,2,0.111,4,0,9,0,0.273,0,0,0,0,No
1,"Graham, Adam",0.111,11/02/17,9,1,1,0,0,0,0,1,0.111,1,1,2,0,0.273,0,1,0,0,No
37,"Reed , John",0,07/01/00,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,No
2,"Grier, Austin",0,01/01/00,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,No
